fecha,temp_max,temp_min,estación
2025-09-07,16.7,5.8,RECONQUISTA AERO
2025-09-07,16.6,4.5,RESISTENCIA AERO
2025-09-07,17.9,6.0,RIO CUARTO AERO
2025-09-07,12.6,1.8,RIO GALLEGOS AERO
2025-09-07,12.3,4.0,RIO GRANDE B.A.
2025-09-07,23.5,8.8,RIVADAVIA
2025-09-07,17.1,5.6,ROSARIO AERO
2025-09-07,18.3,2.8,SALTA AERO
2025-09-07,23.0,7.2,SAN ANTONIO OESTE AERO
2025-09-07,15.5,3.8,SAN FERNANDO AERO
2025-09-07,20.6,4.0,SAN JUAN AERO
2025-09-07,17.0,0.3,SAN JULIAN AERO
2025-09-07,20.6,6.5,SAN LUIS AERO
2025-09-07,20.8,4.3,SAN MARTIN (MZA)
2025-09-07,20.4,4.1,SAN RAFAEL AERO
2025-09-07,17.0,0.2,SANTA CRUZ AERO
2025-09-07,19.8,3.5,SANTA ROSA AERO
2025-09-07,20.8,-0.6,SANTA ROSA DE CONLARA AERO
2025-09-07,23.6,4.2,SANTIAGO DEL ESTERO AERO
2025-09-07,17.2,5.2,SAUCE VIEJO AERO
2025-09-07,17.6,2.6,SUNCHALES AERO
2025-09-07,13.9,-2.1,TANDIL AERO
2025-09-07,23.5,6.9,TARTAGAL AERO
2025-09-07,26.6,6.0,TERMAS DE RIO HONDO AERO
2025-09-07,26.0,2.2,TINOGASTA
2025-09-07,24.0,5.0,TRELEW AERO
2025-09-07,17.8,4.0,TRENQUE LAUQUEN
2025-09-07,16.7,2.8,TRES ARROYOS
2025-09-07,23.7,4.3,TUCUMAN AERO
2025-09-07,7.9,4.7,USHUAIA AERO
2025-09-07,18.6,0.7,USPALLATA
2025-09-07,17.8,2.8,VENADO TUERTO AERO
2025-09-07,,,VICTORICA
2025-09-07,21.3,5.3,VIEDMA AERO
2025-09-07,19.8,-0.5,VILLA DE MARIA DEL RIO SECO
2025-09-07,22.2,4.0,VILLA DOLORES AERO
2025-09-07,13.6,0.8,VILLA GESELL AERO
2025-09-07,22.6,2.8,VILLA REYNOLDS AERO
2025-09-06,13.1,6.4,AEROPARQUE AERO
2025-09-06,13.8,-2.4,AZUL AERO
2025-09-06,16.6,-1.0,BAHIA BLANCA AERO
2025-09-06,15.9,-2.5,BARILOCHE AERO
2025-09-06,12.5,-20.3,BASE BELGRANO II
2025-09-06,-0.2,-10.2,BASE CARLINI (EX JUBANY)
2025-09-06,-3.0,-19.0,BASE ESPERANZA
2025-09-06,13.2,-24.8,BASE MARAMBIO
2025-09-06,-0.8,-12.6,BASE ORCADAS
2025-09-06,-4.7,-10.0,BASE SAN MARTIN
2025-09-06,13.8,-0.5,BENITO JUAREZ
2025-09-06,16.2,6.0,BERNARDO DE IRIGOYEN AERO
2025-09-06,14.1,1.0,BOLIVAR AERO
2025-09-06,15.0,3.4,BUENOS AIRES OBSERVATORIO
2025-09-06,15.4,-2.0,CAMPO DE MAYO AERO
2025-09-06,22.5,11.4,CATAMARCA AERO
2025-09-06,19.2,2.6,CERES AERO
2025-09-06,19.5,4.6,CHAMICAL AERO
2025-09-06,16.5,-6.8,CHAPELCO AERO
2025-09-06,19.3,5.9,CHEPES
2025-09-06,,,CHILECITO AERO
2025-09-06,14.8,5.2,COMODORO RIVADAVIA AERO
2025-09-06,15.5,0.5,CONCORDIA AERO
2025-09-06,17.4,0.8,CORDOBA AERO
2025-09-06,18.0,6.0,CORDOBA OBSERVATORIO
2025-09-06,14.7,-4.4,CORONEL SUAREZ AERO
2025-09-06,17.1,5.3,CORRIENTES AERO
2025-09-06,14.3,1.7,DOLORES AERO
2025-09-06,16.7,-3.9,EL BOLSON AERO
2025-09-06,13.4,-1.1,EL CALAFATE AERO
2025-09-06,15.1,-1.6,EL PALOMAR AERO
2025-09-06,,0.5,ESCUELA DE AVIACION MILITAR AERO
2025-09-06,15.4,-5.9,ESQUEL AERO
2025-09-06,15.2,0.5,EZEIZA AERO
2025-09-06,18.2,8.4,FORMOSA AERO
2025-09-06,19.0,3.0,GENERAL PICO AERO
2025-09-06,19.0,1.0,GOBERNADOR GREGORES AERO
2025-09-06,15.3,2.2,GUALEGUAYCHU AERO
2025-09-06,21.7,10.1,IGUAZU AERO
2025-09-06,18.0,6.8,ITUZAINGO
2025-09-06,17.5,-0.1,JACHAL
2025-09-06,20.3,2.0,JUJUY AERO
2025-09-06,18.6,5.2,JUJUY U N
2025-09-06,15.4,0.4,JUNIN AERO
2025-09-06,14.0,-0.2,LA PLATA AERO
2025-09-06,18.7,0.1,LA QUIACA OBSERVATORIO
2025-09-06,22.2,4.2,LA RIOJA AERO
2025-09-06,16.9,0.5,LABOULAYE AERO
2025-09-06,14.5,3.5,LAS FLORES
2025-09-06,22.4,11.8,LAS LOMITAS
2025-09-06,15.8,-1.4,MALARGUE AERO
2025-09-06,17.0,-9.8,MAQUINCHAO
2025-09-06,12.5,-1.7,MAR DEL PLATA AERO
2025-09-06,16.0,-0.5,MARCOS JUAREZ AERO
2025-09-06,,0.0,MARIANO MORENO AERO
2025-09-06,18.0,4.0,MENDOZA AERO
2025-09-06,,3.5,MENDOZA OBSERVATORIO
2025-09-06,16.8,3.0,MERCEDES AERO (CTES)
2025-09-06,,0.7,MERLO AERO
2025-09-06,18.5,4.0,METAN
2025-09-06,16.0,3.6,MONTE CASEROS AERO
2025-09-06,14.7,1.3,MORON AERO
2025-09-06,19.4,5.8,NEUQUEN AERO
2025-09-06,15.2,2.1,NUEVE DE JULIO
2025-09-06,16.0,4.0,OBERA
2025-09-06,14.6,-0.5,OLAVARRIA AERO
2025-09-06,24.5,9.9,ORAN AERO
2025-09-06,15.6,3.1,PARANA AERO
2025-09-06,17.4,-3.4,PASO DE INDIOS
2025-09-06,16.5,4.6,PASO DE LOS LIBRES AERO
2025-09-06,15.0,2.3,PEHUAJO AERO
2025-09-06,15.6,-3.6,PERITO MORENO AERO
2025-09-06,14.6,0.0,PIGUE AERO
2025-09-06,16.8,2.2,PILAR OBSERVATORIO
2025-09-06,17.8,6.4,POSADAS AERO
